"NA."	"NA..1"	"NA..2"	"NA..3"	"NA..4"	"NA..5"	"Max.capacity..154230"	"Max.capacity..296250"	"NA..6"
"1"	"Test Number"	"Target Lat"	"Target Long"	"Trajectory Angle"	"Bearing Angle"	"Distance"	"Fuel Required (lbs)"	"Oxidizer Required (lbs)"	"Mission Success"
"101"	"100"	"-7.24"	"112.74"	"74.0432580228"	"197.552416532"	"5318.91399241"	"54689.07367"	"105048.55135"	"0"
"102"	"101"	"12"	"8.52"	"55.800731366"	"297.02142893"	"11399.7562113"	"117212.293365"	"225145.185174"	"0"
"103"	"102"	"6.29"	"-75.54"	"46.4473419689"	"28.3787968672"	"14517.552677"	"149269.476625"	"286721.665372"	"0"
"104"	"103"	"5.56"	"-0.2"	"52.2593670934"	"298.829618349"	"12580.2109689"	"129349.729182"	"248459.166635"	"0"
"105"	"104"	"35.15"	"136.91"	"86.7649655407"	"110.205164463"	"1078.34481977"	"11087.5414369"	"21297.3101905"	"0"
"106"	"105"	"6.34"	"5.62"	"53.7908658684"	"294.964373875"	"12069.7113772"	"124100.77238"	"238376.799699"	"0"
"107"	"106"	"38.05"	"114.48"	"87.039875279"	"267.120358204"	"986.70824034"	"10145.3341272"	"19487.4877467"	"0"
"108"	"107"	"-2.21"	"-79.9"	"44.5084502757"	"38.8426262415"	"15163.8499081"	"155914.704755"	"299486.035685"	"1"
"109"	"108"	"28.2"	"112.97"	"84.939718484"	"228.220431857"	"1686.76050532"	"17343.2715157"	"33313.5199801"	"0"
"110"	"109"	"29.77"	"-95.39"	"56.2289356751"	"35.617955626"	"11257.0214416"	"115744.694463"	"222326.173472"	"0"
"111"	"110"	"15.58"	"32.52"	"62.408814915"	"284.175683352"	"9197.06169501"	"94564.1883481"	"181641.968477"	"0"
"112"	"111"	"48.86"	"2.34"	"63.6883129127"	"325.970312812"	"8770.56236242"	"90178.9222104"	"173218.606658"	"0"
"113"	"112"	"3.44"	"-76.52"	"45.696240471"	"31.0595776203"	"14767.919843"	"151843.751826"	"291666.416899"	"0"
"114"	"113"	"36.77"	"3.04"	"60.7565055613"	"317.586146892"	"9747.83147957"	"100227.203273"	"192519.671722"	"0"
"115"	"114"	"36.67"	"117"	"87.5614347485"	"253.793413411"	"812.855083841"	"8357.77597205"	"16053.8879059"	"0"
"116"	"115"	"23.13"	"-82.39"	"52.4795786224"	"28.0055581395"	"12506.8071259"	"128594.990868"	"247009.440736"	"0"
"117"	"116"	"41.31"	"69.3"	"75.8470993656"	"291.868777544"	"4717.63354481"	"48506.7081077"	"93173.26251"	"0"
"118"	"117"	"38.92"	"121.65"	"88.9329713794"	"269.086143582"	"355.676206873"	"3657.06275907"	"7024.60508574"	"0"
"119"	"118"	"43.85"	"126.55"	"88.3845180762"	"6.74538469239"	"538.493974592"	"5536.79504675"	"10635.2559982"	"0"
"120"	"119"	"28.68"	"115.88"	"85.5965359068"	"221.249814675"	"1467.8213644"	"15092.1392687"	"28989.4719468"	"0"
"121"	"120"	"34.75"	"113.67"	"86.4743331205"	"249.78553158"	"1175.22229317"	"12083.6356184"	"23210.6402902"	"0"
"122"	"121"	"49.28"	"-123.13"	"65.6997863469"	"39.5630226529"	"8100.07121771"	"83284.9322605"	"159976.40655"	"0"
"123"	"122"	"-26.19"	"28.04"	"52.6992980582"	"253.296444847"	"12433.5673139"	"127841.939122"	"245562.95445"	"0"
"124"	"123"	"33.89"	"35.5"	"66.7766784204"	"297.681128173"	"7741.10719319"	"79594.0641604"	"152886.867066"	"0"
